#PageRankData 0
# PageRank computation data result
# Copyright (C) 2012 Hitoshi Yamauchi
#
# result_index pagerank sorted_permulation_index
#
854 0.00143811 5
856 0.00379528 1500
857 0.000174582 1964
859 7.20981e-05 766
864 0.000103092 768
867 0.000624947 1066
868 8.20978e-05 495
870 2.76234e-05 58
871 3.59015e-05 891
876 0.00240905 142
881 0.000937143 107
882 4.80953e-05 563
883 9.0171e-05 110
885 2.14104e-05 460
886 0.000126185 883
887 0.00045134 666
889 0.00013652 581
894 0.000112661 529
895 5.231e-05 31
898 0.000805587 1611
899 5.42173e-05 403
900 0.00137463 1256
901 0.000798212 299
906 2.48441e-05 1466
909 0.000670187 302
910 0.000320683 1041
912 1.96849e-05 1044
913 0.000469793 588
914 0.000133616 407
923 0.000160684 776
926 5.47027e-05 203
927 0.000134792 837
930 7.0965e-05 249
932 2.58286e-05 165
933 5.69954e-05 1496
943 6.99887e-05 1619
944 0.000434196 952
945 0.00120949 1492
948 0.000194688 729
949 3.67624e-05 486
952 0.000209728 1368
955 0.000133616 357
956 0.000522599 986
959 0.00170515 854
968 8.19394e-05 46
969 9.25619e-05 691
972 3.9831e-05 338
973 0.000272195 1785
977 2.34192e-05 1435
983 0.000269182 391
986 0.000592269 522
987 0.00181075 778
992 0.00013091 1810
997 0.000716904 1153
998 0.000158084 1704
1001 0.000192053 1062
1004 4.21362e-05 2041
1006 0.000204485 1083
1009 0.000755339 1150
1010 4.79313e-05 1978
1011 2.09557e-05 446
1013 0.000162108 1069
1033 0.000240023 1906
1036 0.000184682 333
1040 0.000521832 890
1042 0.000326369 32
1047 0.00211103 904
1048 0.000947352 757
1049 0.000127189 244
1051 0.000374347 1056
1052 0.00091436 1139
1058 0.000243291 1138
1059 9.49579e-05 23
1062 0.000529509 1252
1064 0.000107298 980
1068 3.1524e-05 65
1072 0.000103593 2065
1078 0.000764881 1975
1082 0.000306455 1049
1083 5.76187e-05 1672
1085 0.000162303 587
1090 0.000466341 1140
1091 0.000103234 51
1098 0.000888213 688
1099 0.00112594 1498
1104 8.89302e-05 264
1105 0.000551391 304
1110 0.000315227 1673
1115 0.00131667 2037
1131 0.000395935 1960
1132 4.74129e-05 168
1137 2.80628e-05 846
1145 0.000950699 171
1150 2.14459e-05 679
1152 3.23038e-05 253
1154 5.47107e-05 166
1155 4.2875e-05 558
1156 4.2875e-05 499
1158 5.42048e-05 1230
1159 8.06752e-05 700
1160 4.7536e-05 1911
1162 0.000157428 874
1163 8.20511e-05 983
1164 0.000114913 1463
1166 0.000271014 2048
1169 0.000160844 1250
1171 0.000279595 1969
1172 0.000133616 285
1173 0.000133616 90
1177 0.00158768 1457
1182 0.000121043 762
1183 0.000750686 1627
1186 0.00246523 615
1190 0.000185701 605
1191 0.000103092 199
1199 0.000850294 1143
1201 0.000425853 1841
1206 0.000144651 810
1207 2.24746e-05 730
1211 0.000157471 1921
1212 0.000180601 93
1213 4.63877e-05 422
1217 0.000169431 1847
1220 0.000805811 1778
1221 0.000114811 682
1225 0.000136521 1600
1228 0.000133896 330
1229 0.000782011 546
1233 0.000558206 1777
1234 0.00375639 715
1235 0.000548508 1638
1236 8.24927e-05 1679
1237 0.00197478 955
1240 0.000267405 276
1241 3.50787e-05 617
1252 8.4606e-05 1306
1253 0.000112833 1474
1254 3.65877e-05 1100
1255 6.03525e-05 1798
1258 0.00033834 648
1259 0.000370949 722
1264 4.42075e-05 1171
1270 0.0005953 1224
1276 0.000360891 1240
1279 0.000133616 1985
1285 0.000111472 468
1290 0.000276035 1641
1291 0.000465615 408
1294 0.000462388 106
1295 2.29335e-05 1614
1299 0.00235854 366
1300 0.000205569 1434
1302 4.95063e-05 1198
1304 6.54161e-05 410
1305 0.000126429 1574
1307 0.000234352 1852
1308 0.000227905 535
1309 0.000126825 210
1311 2.50157e-05 635
1312 0.000306942 670
1313 6.06679e-05 37
1314 7.07112e-05 548
1319 0.000296193 1712
1324 0.000133616 1128
1328 6.37666e-05 483
1330 4.50075e-05 1828
1335 0.000720107 1553
1341 0.000139987 451
1342 0.00239973 353
1344 0.000202088 1877
1346 7.48667e-05 1077
1347 0.000530276 1009
1348 0.000130343 29
1354 4.122e-05 322
1361 0.000128447 344
1364 0.000107298 1957
1365 6.7334e-05 1584
1369 4.2875e-05 840
1371 2.63818e-05 508
1384 2.93863e-05 1266
1385 0.000821491 1073
1388 9.23721e-05 914
1392 2.14104e-05 1374
1395 0.000427916 1386
1396 0.000210512 1752
1397 0.000211898 1453
1399 0.000150966 1818
1401 4.85254e-05 1901
1406 0.000560081 621
1407 8.12257e-05 1723
1412 0.000135722 1501
1413 0.00343221 479
1414 0.000481445 1401
1421 0.00108895 806
1423 0.000871064 245
1429 9.06903e-05 1591
1430 5.47107e-05 1660
1432 0.00193231 472
1433 0.000939209 135
1436 0.000491229 1285
1440 0.000412942 830
1450 0.000133616 1301
1455 9.67069e-05 1125
1456 0.00053435 1381
1457 4.122e-05 307
1458 0.000395284 870
1459 0.000771894 1179
1461 2.09226e-05 1212
1462 2.10735e-05 2047
1464 0.00117876 781
1466 5.76433e-05 361
1468 0.000270027 427
1469 0.000232756 1064
1470 0.00420049 1759
1473 8.36447e-05 534
1474 0.000838413 428
1477 0.00138523 1318
1482 9.65631e-05 991
1483 0.000119059 1089
1484 0.000641789 623
1486 0.000906312 1021
1487 0.0015131 84
1490 0.00039965 1034
1491 6.50568e-05 927
1497 4.56393e-05 260
1498 0.00113633 295
1501 0.00240383 1039
1502 9.34254e-05 261
1504 0.000517706 1872
1505 1.82073e-05 1124
1507 9.99369e-05 1879
1509 0.000168201 1342
1510 4.15093e-05 1328
1513 0.00014052 2007
1514 3.11057e-05 616
1520 0.000133616 657
1521 0.000133616 1274
1524 0.000148372 316
1525 0.000114211 620
1526 0.00213186 1104
1527 5.45429e-05 1218
1532 0.000112547 1414
1533 0.000747613 1995
1534 0.000179942 748
1538 5.80227e-05 1001
1549 4.01612e-05 1162
1552 4.96808e-05 1484
1553 2.72411e-05 1846
1556 7.89623e-05 226
1558 0.000811083 582
1561 3.64083e-05 463
1567 0.00145363 1857
1574 0.000218636 702
1578 0.000100172 396
1580 0.000462589 642
1583 0.000544862 1081
1587 7.39755e-05 1945
1589 5.47107e-05 667
1590 4.122e-05 1848
1591 2.73607e-05 1564
1594 0.00105158 848
1603 0.00302066 1264
1609 0.00023027 73
1612 0.00217032 1278
1615 8.66521e-05 138
1616 1.98656e-05 898
1619 0.000591464 1046
1620 6.07602e-05 1996
1621 0.000538937 1774
1623 4.03681e-05 480
1638 3.18439e-05 1015
1639 5.73343e-05 88
1641 0.000142516 87
1647 5.65882e-05 1012
1648 9.97475e-05 1594
1650 8.20662e-05 155
1655 9.95536e-05 1384
1658 0.000131143 20
1660 0.000642662 7
1661 0.0020323 502
1662 8.24113e-05 1795
1670 3.17162e-05 99
1673 0.000133616 895
1675 0.000823825 369
1677 0.000141521 824
1681 0.000166101 485
1682 0.017 1127
1684 0.000303086 1694
1685 4.28658e-05 2019
1686 7.42144e-05 660
1689 0.000106195 1636
1690 0.000133616 574
1691 0.000190668 188
1693 0.000273683 812
1695 0.000387376 1186
1696 2.12302e-05 2056
1697 0.000252477 911
1699 0.00024836 1394
1709 2.50402e-05 1535
1714 4.06956e-05 1588
1715 0.00117547 206
1716 0.000815403 804
1718 0.000428168 1227
1720 0.000362151 278
1721 0.0126643 1541
1722 0.00313323 915
1724 0.000306357 1823
1727 0.000684653 349
1739 0.000787876 1618
1747 0.00026081 1488
1748 0.00013863 1248
1749 0.00693799 420
1750 6.19005e-05 1123
1756 0.00101832 1304
1758 8.29703e-05 1593
1759 0.00020001 1932
1762 6.47783e-05 1455
1763 3.30374e-05 1024
1765 2.70624e-05 1767
1768 3.75387e-05 1332
1770 1.88741e-05 1714
1772 1.82073e-05 1838
1773 0.00195172 2043
1774 0.000306055 754
1775 0.00151662 583
1776 0.000609197 2006
1777 0.00170902 1733
1783 0.000122393 1019
1786 3.40238e-05 1515
1794 1.96849e-05 423
1795 0.000189564 687
1798 5.45429e-05 1486
1803 0.00085885 1738
1807 4.2875e-05 242
1808 0.000133616 40
1810 0.000609661 25
1813 0.000437686 1
1814 0.000581815 2038
1815 3.72846e-05 856
1816 0.000347139 984
1825 0.000433421 105
1826 0.000493323 1429
1829 0.000160873 749
1833 0.000461766 1827
1834 0.000114933 1573
1835 0.000134524 1662
1836 2.69385e-05 619
1837 0.000207146 1744
1841 0.000112077 1956
1842 4.15904e-05 706
1848 0.000133616 1063
1849 0.00202754 195
1850 6.07024e-05 1265
1851 0.000130723 1922
1852 0.000293631 857
1853 0.000544468 419
1854 2.24242e-05 218
1856 0.000221423 1508
1857 7.08996e-05 1689
1858 0.00283156 1765
1859 0.00013921 1661
1864 0.000958844 1542
1866 0.00042563 59
1869 3.62866e-05 651
1870 0.00155843 817
1873 7.59818e-05 907
1875 4.94289e-05 792
1876 0.00106701 1552
1877 0.00056985 1061
1881 2.3927e-05 1729
1883 0.000107091 1876
1890 0.000333433 1357
1891 8.28894e-05 345
1894 0.000263546 1078
1898 0.000306535 753
1900 0.00151366 1967
1901 0.000189969 1768
1902 0.000436656 208
1904 5.27281e-05 994
1909 0.000202016 1659
1911 0.000388122 1885
1913 0.000112343 1840
1915 0.000187147 305
1919 0.00022569 2053
1921 5.47107e-05 1749
1925 0.00121257 1507
1928 0.000817587 2013
1929 0.000424928 367
1937 0.000196522 1802
1942 0.00222839 224
1946 0.000540678 250
1947 0.00010916 1761
1952 3.51011e-05 1025
1957 0.000193315 1038
1959 0.000116154 1637
1960 4.2875e-05 1644
1961 5.47107e-05 439
1965 2.87515e-05 1084
1967 1.96849e-05 654
1968 0.00065095 1270
1972 0.000130655 358
1973 0.00111625 586
1975 0.000593048 603
1976 0.000103619 71
1977 0.00026194 1696
1981 0.000102218 567
1982 0.000182297 1262
1983 0.000360335 1002
1984 0.000674771 1159
1986 3.93123e-05 1625
1988 0.00120931 38
1989 0.000757104 1482
1991 0.000104381 2044
1992 0.00104129 1842
1995 0.000231327 851
1996 8.07236e-05 1276
1997 4.28658e-05 442
2001 8.20978e-05 66
2002 0.00245947 1915
2003 6.29272e-05 1023
2006 0.000640646 634
2008 0.00725568 903
2010 0.000426847 1571
2014 2.85566e-05 2009
2018 0.000198649 1708
2022 7.90593e-05 1851
2023 0.000344889 162
2030 0.000221107 1156
2033 0.00203148 1307
2034 0.000224213 225
2037 0.000130001 1241
2038 0.000152858 982
2040 2.12478e-05 201
2047 3.56808e-05 215
2048 2.12478e-05 1760
2049 0.000588801 1787
2050 0.00099755 1716
2052 2.99577e-05 726
2060 0.00010301 102
2061 0.000138103 1596
2062 7.36496e-05 784
2064 4.62167e-05 1462
2065 0.00056866 1242
2069 2.99577e-05 386
2070 0.0088075 1385
2071 2.69385e-05 18
2073 0.000284989 177
2077 3.10962e-05 1511
2078 4.91755e-05 426
2085 0.000771894 193
2086 0.000600566 1490
2087 7.74437e-05 909
2089 0.000914645 211
2095 0.000133616 799
2097 2.14104e-05 573
2098 0.000114933 1395
2099 0.000209635 36
2100 0.000926339 1576
2105 8.14529e-05 327
2106 0.000100239 384
2107 4.2875e-05 1953
2110 6.19294e-05 1629
2111 5.1264e-05 491
2112 5.83915e-05 329
2113 0.000133616 945
2114 5.21877e-05 413
2115 0.000233782 1251
2123 0.000225818 1467
2124 0.000430131 266
2127 0.000351779 653
2129 0.000194291 1243
2138 0.00198682 1120
2139 0.00161233 1754
2142 0.000325343 684
2143 0.00036257 1676
2144 0.000249625 589
2153 2.80693e-05 1671
2155 0.00071198 926
2159 0.00605692 1380
2162 6.27197e-05 1287
2166 2.66448e-05 1821
2176 0.00228063 274
2180 0.000617987 774
2181 2.84182e-05 1861
2182 8.34917e-05 1929
2185 0.000102246 811
2186 0.00084394 1517
2188 0.00010767 1392
2189 0.000841925 1129
2190 0.00135455 576
2191 0.000891469 1740
2193 6.36981e-05 2070
2194 2.26893e-05 1092
2195 2.18338e-05 1980
2196 0.000257572 1234
2197 0.00649696 1098
2199 0.000781008 755
2210 0.000124172 1933
2211 0.000746805 1217
2213 2.99577e-05 974
2214 2.69385e-05 2012
2217 0.000467668 214
2218 0.00120417 1336
2220 0.00198329 114
2222 0.000282807 577
2224 4.83425e-05 2050
2225 3.4636e-05 1294
2226 0.00357506 1470
2227 7.4008e-05 119
2229 0.000103174 1826
2231 0.000127605 800
2232 5.98081e-05 1598
2234 0.000331985 1040
2237 0.00106046 965
2239 2.04202e-05 351
2241 0.000162108 186
2242 2.7832e-05 97
2250 2.14459e-05 169
2252 2.9228e-05 342
2254 0.000273726 1471
2256 0.00024374 1551
2259 0.000170173 1146
2264 3.92715e-05 2002
2265 3.62062e-05 1739
2266 0.000379981 1934
2269 3.17162e-05 1725
2272 0.000488954 941
2275 0.000205693 435
2282 2.37022e-05 746
2285 6.80412e-05 492
2294 0.000602506 1645
2295 0.000256095 694
2296 0.000383006 1272
2298 0.00459519 1273
2299 7.49441e-05 542
2300 6.3229e-05 977
2304 0.000105982 1144
2305 0.000333201 1022
2306 4.09759e-05 1172
2307 0.000114202 1090
2308 0.000103035 436
2310 0.000100121 123
2311 0.000136542 967
2312 0.00513188 1478
2315 0.000395727 1977
2316 6.35779e-05 747
2319 8.65763e-05 922
2320 0.00208906 663
2322 5.47107e-05 2062
2323 4.2875e-05 1809
2327 0.000476163 1919
2333 0.001253 876
2338 0.000164146 709
2347 0.000133616 954
2348 0.000133616 1878
2350 7.82705e-05 86
2354 0.000133616 1131
2362 0.000779332 637
2370 3.17162e-05 200
2371 8.91549e-05 707
2375 0.000519013 996
2376 6.61433e-05 1180
2377 0.000190668 1620
2379 9.78861e-05 1319
2380 8.22919e-05 50
2381 0.000203845 532
2382 0.000658367 1340
2383 0.000102121 1091
2384 0.000421382 1219
2389 6.07703e-05 1174
2394 3.2583e-05 1514
2395 0.000296767 1772
2400 8.64281e-05 1930
2402 0.000145333 1927
2406 0.000758454 1890
2408 3.00783e-05 1790
2409 0.000355109 1300
2410 0.000339129 1288
2413 0.00168874 878
2417 6.72354e-05 1375
2419 0.00204635 465
2420 3.50787e-05 1834
2421 8.72897e-05 1947
2422 2.38202e-05 1103
2425 0.000138607 464
2426 3.23038e-05 1755
2427 5.47107e-05 320
2428 4.2875e-05 736
2429 0.000102997 1813
2431 7.85638e-05 1763
2437 0.00046925 627
2441 4.48736e-05 1405
2442 0.00231278 1577
2443 0.00156808 1352
2444 0.000637589 1986
2445 7.36409e-05 953
2449 0.000224922 807
2451 6.29537e-05 431
2455 0.000212903 70
2463 6.04804e-05 337
2464 0.000133616 108
2465 0.00145318 1487
2466 9.08161e-05 845
2469 0.000821117 449
2470 5.81784e-05 659
2474 2.28785e-05 959
2488 8.85821e-05 1966
2492 3.30852e-05 1393
2495 0.00348656 1628
2497 7.44569e-05 1396
2502 0.000714332 1149
2503 0.000835643 595
2504 0.00207427 1940
2505 0.000133616 1166
2506 0.000146155 704
2507 0.000395959 2016
2509 2.73607e-05 1192
2510 0.00133178 1313
2513 0.000417243 1648
2515 7.77003e-05 668
2525 0.00129813 1188
2527 0.000107435 1154
2529 0.000156787 318
2530 0.000293292 1844
2531 0.00071315 22
2537 0.000133616 750
2538 0.000133616 1292
2539 0.00033286 673
2545 0.00289981 82
2546 0.000275457 1579
2547 2.19197e-05 1647
2550 0.000381662 10
2555 0.00122021 335
2556 0.000133616 1658
2558 0.000506144 1441
2568 0.000375091 1068
2569 0.00490967 572
2570 2.63201e-05 842
2571 3.1851e-05 2060
2574 5.73343e-05 1859
2575 0.000165611 656
2577 0.000140772 610
2578 0.000225784 1411
2582 0.00102593 1235
2585 0.000118823 938
2589 0.000147437 2064
2593 0.000260316 1581
2607 0.000454875 662
2608 0.00485103 1616
2609 0.000108978 942
2613 0.00111311 393
2615 0.000133616 1640
2616 0.000133616 343
2623 8.98961e-05 1557
2625 5.80227e-05 2030
2626 3.34327e-05 686
2627 0.000122992 112
2631 0.000108073 400
2632 0.000187861 55
2633 0.00168835 1783
2637 2.14908e-05 1322
2641 0.000234419 523
2644 0.000186005 54
2648 0.00102459 1004
2657 4.2875e-05 2054
2659 0.000268885 1094
2662 0.000155735 1491
2666 2.40973e-05 282
2669 0.00497189 1221
2670 5.47107e-05 4
2672 5.37122e-05 1260
2673 7.30285e-05 183
2675 0.000773273 1416
2681 0.000205997 236
2683 0.000224192 1797
2684 0.000584607 1382
2685 0.00011247 1793
2686 0.000126682 196
2687 0.000128142 1970
2693 0.000201809 801
2694 0.00168709 11
2695 6.83126e-05 1837
2696 5.47107e-05 402
2697 3.90317e-05 1563
2698 0.00181968 1136
2699 0.000243341 1377
2705 0.000915433 1602
2709 0.000226465 511
2710 0.000147146 1604
2713 7.87987e-05 1681
2719 8.119e-05 153
2722 3.70006e-05 1331
2723 6.9175e-05 565
2725 5.65882e-05 255
2728 0.000249436 1412
2730 3.66458e-05 920
2733 3.71726e-05 1060
2734 0.000229765 1107
2735 0.00138866 2033
2738 0.00012811 993
2739 0.000699368 832
2741 0.000148727 2003
2742 0.000288219 1580
2745 0.000636629 2035
2748 0.000353435 221
2756 0.000133616 1822
2762 0.000764184 360
2763 0.00352703 341
2765 5.47107e-05 795
2766 7.02962e-05 1355
2767 0.000104178 1433
2769 0.000461946 6
2770 2.43576e-05 622
2771 0.000164146 385
2773 0.000324021 309
2775 3.29863e-05 143
2777 0.000221003 334
2778 0.000107569 399
2783 2.48441e-05 381
2785 0.00408553 1451
2787 0.00093358 902
2790 0.00042922 1053
2799 0.00030241 1239
2802 6.28449e-05 1713
2805 0.000179152 1163
2806 4.28658e-05 1415
2808 0.000967728 1223
2811 7.11275e-05 2049
2819 0.000133616 946
2825 0.000523776 1155
2829 4.13101e-05 1780
2830 0.00100432 1769
2832 0.00040896 1794
2834 4.66635e-05 2046
2835 0.000123493 1546
2840 0.000411458 1267
2842 6.53664e-05 711
2843 0.000106583 1193
2847 0.000898458 1731
2848 0.000361203 466
2851 0.000118203 1383
2852 0.000461305 1862
2853 0.000229269 981
2855 0.000293754 216
2856 0.000368741 517
2859 0.000309712 182
2860 3.93123e-05 1088
2864 2.62115e-05 145
2866 6.52074e-05 1944
2869 6.63966e-05 925
2875 0.000853709 968
2881 0.00011316 1253
2883 0.000133616 1582
2886 3.72105e-05 894
2890 0.000455202 1432
2894 8.74679e-05 853
2896 0.000133616 209
2898 0.000133616 397
2900 0.000309058 1477
2904 0.000450944 1296
2910 0.000243554 98
2920 0.000792792 1099
2922 7.85195e-05 1335
2924 0.000136439 552
2929 0.000792579 1976
2931 0.000126917 564
2935 0.000415835 2008
2940 7.29848e-05 921
2941 2.27805e-05 14
2943 0.000688088 513
2944 9.87849e-05 241
2946 0.00713366 447
2948 0.000133616 640
2951 0.00015658 1634
2953 2.87573e-05 270
2955 0.000117269 590
2958 0.000709529 1773
2960 9.47263e-05 864
2961 6.79847e-05 1693
2966 5.01377e-05 719
2969 0.000164759 1599
2977 0.000330306 1519
