#PageRankData 0
# PageRank computation data result
# Copyright (C) 2012 Hitoshi Yamauchi
#
# result_index pagerank sorted_permulation_index
#
528 0.00603383 408
529 0.000138159 67
531 0.00109227 239
533 0.000312125 550
535 8.58942e-05 574
536 0.000563404 128
537 0.000177166 481
538 0.000299937 189
539 0.00603442 37
541 0.00796664 125
542 0.000261581 317
543 0.00608052 419
548 6.5478e-05 583
552 0.000113734 457
553 0.000350246 173
554 0.000176379 330
555 0.00603383 116
556 0.00156439 392
557 0.00609962 269
558 0.000243698 486
559 0.00026342 107
562 4.77159e-05 180
563 0.000751739 121
564 0.000136329 343
565 4.59473e-05 264
566 0.0002165 92
569 0.00613166 406
572 0.000339944 341
573 0.000706234 394
574 0.000498043 306
575 0.000101949 336
577 0.00245413 265
578 0.00299433 444
581 0.000311996 172
582 0.00265207 254
583 0.000148928 310
585 0.00676339 42
586 0.000277349 62
587 0.000315572 479
588 0.00040443 181
589 0.000328808 403
590 0.000198887 428
591 0.00632847 295
592 9.58817e-05 106
594 0.00492244 469
595 0.000584334 340
597 7.14e-05 607
601 0.00015347 160
602 0.0013753 182
603 0.00603383 323
604 2.54245e-05 474
605 0.00284681 288
606 0.000118402 313
607 0.000217113 137
608 0.000111388 532
609 1.80684e-05 609
610 4.99395e-05 424
612 0.00240568 184
613 0.00623137 559
614 7.10433e-05 296
615 0.000690468 385
616 0.00770477 256
617 0.00421398 477
618 0.000101343 616
619 0.0033598 45
620 0.000399377 572
621 2.89665e-05 322
623 9.46419e-05 24
625 0.00094358 463
626 0.00718067 198
628 0.00618721 53
629 0.000102719 78
631 0.000533026 74
634 0.000611818 225
635 0.00057003 623
638 0.000112214 115
639 0.000189377 146
642 0.000194003 76
643 0.000700037 133
644 0.00134413 214
646 0.000126404 284
648 0.000160597 488
650 0.000247963 138
651 4.13404e-05 131
652 4.00433e-05 54
653 0.000103103 170
656 0.000453713 590
657 0.000210283 132
659 8.73464e-05 162
661 0.000337943 114
662 0.000452319 77
664 0.000312623 356
665 0.00159023 596
667 0.000641608 328
668 0.00252073 490
669 0.00677098 581
670 0.000528639 390
671 0.000158009 299
672 0.00611981 602
673 0.00195756 247
674 0.000285914 210
676 0.00015434 96
677 0.00608689 344
678 0.000325837 38
681 4.57701e-05 380
682 0.00039128 6
683 0.000143006 379
684 0.000905772 192
687 0.0027423 527
689 7.37992e-05 242
690 0.000175515 88
691 0.00195756 615
692 0.000798809 64
693 0.00718067 459
695 0.00612776 216
696 0.000107151 618
697 0.000350142 560
699 0.00603383 309
702 0.000131794 318
705 0.00436141 249
709 7.8995e-05 413
711 0.000253284 530
713 9.65576e-05 437
714 0.000502152 141
715 0.000133183 28
717 0.000285438 563
718 0.000107903 60
719 5.1545e-05 246
720 0.0016615 612
721 0.00729519 32
722 6.50556e-05 298
723 2.37352e-05 599
724 8.23033e-05 293
726 0.00271682 206
727 0.000175168 25
728 4.47701e-05 384
729 6.55147e-05 621
730 0.000944538 289
731 0.00106265 400
732 7.9421e-05 68
737 0.000893088 562
739 0.000305567 404
740 0.00603383 350
742 0.00241485 50
744 0.000406386 187
746 9.66331e-05 513
747 7.17813e-05 338
748 0.00545314 267
749 3.77983e-05 158
751 5.82843e-05 294
752 0.00603442 460
753 4.47701e-05 409
755 0.00607557 465
756 0.00097528 252
757 0.000343827 584
762 0.000885507 1
763 0.000183375 253
764 0.000143512 139
770 2.86363e-05 205
771 4.17167e-05 304
774 0.00024286 105
775 9.54396e-05 152
776 0.000141719 597
777 0.00198754 171
781 0.000990592 326
782 3.54723e-05 155
784 0.00027824 61
786 0.000979436 212
787 0.00623822 94
788 0.00603383 544
789 9.22034e-05 86
793 0.000261973 543
794 0.00287513 134
795 0.00621458 280
796 0.000246335 427
801 0.000944656 421
802 0.000287049 237
803 0.000704825 383
804 0.000371727 519
805 4.23033e-05 587
807 5.82843e-05 219
812 0.000821512 278
814 0.000755961 20
816 0.000332723 2
820 0.00607902 185
821 0.000226767 151
822 7.15635e-05 601
823 0.000213543 355
824 4.38596e-05 48
825 0.00718067 316
831 8.83718e-05 624
833 0.00109307 87
